chroma_means_0,chroma_means_1,chroma_means_10,chroma_means_11,chroma_means_2,chroma_means_3,chroma_means_4,chroma_means_5,chroma_means_6,chroma_means_7,chroma_means_8,chroma_means_9,contrast_means_0,contrast_means_1,contrast_means_2,contrast_means_3,contrast_means_4,contrast_means_5,contrast_means_6,duration_sec,dynamic_range,filename,filesize_mb,mfcc_means_0,mfcc_means_1,mfcc_means_10,mfcc_means_11,mfcc_means_12,mfcc_means_2,mfcc_means_3,mfcc_means_4,mfcc_means_5,mfcc_means_6,mfcc_means_7,mfcc_means_8,mfcc_means_9,rms_mean,rms_std,sample_rate,session,spectral_bandwidth_mean,spectral_centroid_mean,spectral_centroid_std,spectral_flatness_mean,spectral_rolloff_mean,tempo_bpm,zero_crossing_rate_mean
0.364,0.275,0.191,0.306,0.394,0.291,0.385,0.251,0.216,0.373,0.245,0.235,22.551,18.699,21.986,23.316,18.593,18.752,43.452,150.07,0.1975,13-the-gc-sings.mp3,4.59,-214.92,110.81,1.61,-3.7,-3.07,33.32,27.3,-2.82,-8.46,9.22,1.45,13.83,3.0,0.1228,0.0546,22050,music,2161.4,1622.4,1040.4,0.0071,3383.3,161.5,0.0547
0.399,0.281,0.104,0.186,0.362,0.246,0.441,0.246,0.189,0.415,0.197,0.129,23.439,19.445,23.607,22.61,19.954,17.829,44.864,119.94,0.1978,14-bpm-40.mp3,3.67,-250.47,124.19,-2.64,0.27,-4.81,10.7,20.28,10.04,5.66,2.58,-0.54,-6.82,-0.8,0.0915,0.0615,22050,music,1859.9,1322.6,697.1,0.0039,2584.8,129.2,0.0479
0.133,0.194,0.398,0.25,0.139,0.151,0.14,0.299,0.659,0.297,0.148,0.213,22.633,20.837,22.796,21.461,20.155,16.847,45.31,158.41,0.1415,15-bpm-80.mp3,4.84,-247.41,84.99,-3.36,0.36,-5.66,31.66,33.41,16.08,5.51,-9.17,6.27,-8.78,-8.34,0.0742,0.0466,22050,music,2555.2,2062.8,961.8,0.0093,4732.1,99.4,0.054
0.334,0.269,0.204,0.208,0.337,0.261,0.414,0.51,0.242,0.206,0.176,0.265,22.58,18.037,19.067,19.062,18.534,16.743,44.04,140.42,0.1366,16-bpm-120.mp3,4.29,-231.35,110.68,-4.08,1.71,-5.11,22.2,20.47,4.24,-0.17,4.05,1.85,-2.03,0.13,0.0791,0.0415,22050,music,2359.5,1712.7,763.9,0.0057,3852.3,112.3,0.0455
0.345,0.283,0.274,0.562,0.424,0.34,0.439,0.238,0.312,0.445,0.241,0.163,19.356,17.695,20.541,19.277,17.405,17.854,42.672,196.37,0.1903,17-bpm-160.mp3,6.0,-286.28,128.93,-0.03,3.99,-1.57,27.52,38.52,21.42,-3.59,3.96,3.37,2.28,0.71,0.0776,0.0585,22050,music,1649.0,1000.9,425.2,0.0012,1872.0,112.3,0.0322
0.323,0.218,0.152,0.221,0.248,0.237,0.363,0.261,0.251,0.357,0.229,0.23,21.53,20.268,23.352,22.442,19.355,17.707,45.259,144.71,0.2038,18-the-tap-sings.mp3,4.42,-215.74,75.2,1.52,-6.62,-9.25,24.31,32.06,1.82,1.88,8.85,0.74,8.89,2.36,0.1115,0.0601,22050,music,2523.3,2165.9,1080.8,0.0103,4654.5,92.3,0.0729
0.258,0.347,0.296,0.234,0.462,0.318,0.336,0.324,0.245,0.294,0.334,0.419,23.446,18.57,22.271,20.175,18.91,16.935,46.064,152.28,0.2023,19-doom-polka.mp3,4.66,-155.85,75.71,2.83,1.96,-3.54,14.47,32.77,6.03,5.06,2.02,7.32,-4.76,0.11,0.1314,0.0609,22050,music,2583.5,2322.4,857.4,0.0173,5097.9,78.3,0.0839
0.247,0.343,0.337,0.324,0.329,0.301,0.409,0.317,0.327,0.275,0.354,0.475,20.89,19.264,23.124,21.057,20.107,17.334,45.32,198.41,0.1852,20-math-rock-country.mp3,6.06,-159.76,50.68,1.41,2.71,-4.62,23.33,57.67,14.76,13.98,2.19,6.52,-1.04,3.05,0.1274,0.0538,22050,music,2660.9,2563.7,839.2,0.0144,5513.1,112.3,0.0956
0.118,0.097,0.399,0.169,0.249,0.366,0.218,0.276,0.239,0.485,0.315,0.266,19.558,17.88,22.47,22.587,19.905,17.884,43.151,156.12,0.166,21-bpm-60.mp3,4.77,-263.97,142.68,-6.12,-2.93,-6.28,35.93,26.21,10.66,3.19,7.66,-1.24,-4.17,-6.17,0.0992,0.0536,22050,music,1791.1,1011.7,374.4,0.001,1713.0,152.0,0.0341
0.251,0.392,0.178,0.319,0.215,0.333,0.402,0.192,0.232,0.164,0.309,0.18,20.629,17.656,23.194,22.689,20.494,17.12,46.125,163.69,0.1117,22-bpm-100.mp3,5.0,-300.26,113.11,-1.03,4.72,-3.66,28.01,36.78,7.18,4.8,-0.33,3.66,-4.61,-0.17,0.056,0.0337,22050,music,2044.8,1444.8,722.2,0.0042,3022.8,112.3,0.0492
0.191,0.226,0.225,0.32,0.461,0.242,0.161,0.137,0.276,0.276,0.185,0.222,19.705,18.463,20.036,18.067,15.845,19.524,44.67,128.08,0.102,23-bpm-140-retest.mp3,3.92,-306.75,150.25,-0.05,2.48,-5.13,2.64,57.57,9.16,-10.58,-0.06,5.07,5.39,0.66,0.0665,0.031,22050,music,1340.0,939.8,410.8,0.0006,1849.4,161.5,0.0332
0.339,0.141,0.2,0.499,0.136,0.158,0.258,0.2,0.321,0.571,0.295,0.156,20.776,21.331,22.964,21.003,20.248,17.772,45.319,137.94,0.1067,24-bpm-180.mp3,4.22,-238.47,100.42,-6.12,-0.87,-13.1,12.41,41.47,22.04,16.07,4.78,1.62,-0.45,4.1,0.0771,0.0349,22050,music,2293.0,1631.4,601.7,0.0041,3803.0,143.6,0.042
0.304,0.225,0.158,0.204,0.258,0.25,0.362,0.249,0.213,0.308,0.213,0.197,22.315,21.335,24.424,22.637,21.482,19.298,44.83,142.25,0.3244,25-the-tap-sings-synthwave-cover.mp3,4.35,-227.48,75.69,-5.66,-8.19,-11.17,19.03,24.79,3.58,-2.81,-4.65,-6.27,-7.81,-7.23,0.146,0.1079,22050,music,2155.3,1932.7,1302.0,0.012,3833.8,95.7,0.0786
0.253,0.272,0.26,0.19,0.463,0.269,0.304,0.314,0.229,0.222,0.249,0.457,21.691,18.096,23.731,23.191,19.911,19.464,48.926,94.63,0.2252,26-screamo-choral.mp3,2.89,-239.12,76.05,1.13,-3.47,-4.73,-1.63,32.14,-7.89,1.95,2.54,7.52,-10.68,0.58,0.0833,0.0736,22050,music,1984.0,1975.7,1018.2,0.0097,3778.7,99.4,0.0943
0.343,0.241,0.172,0.254,0.276,0.253,0.298,0.241,0.187,0.278,0.206,0.231,23.094,20.877,24.272,22.058,19.882,18.082,44.955,140.33,0.3017,27-the-tap-sings-piano-cover-of-cover.mp3,4.29,-236.09,83.7,-9.29,-8.96,-10.22,40.97,32.33,7.16,-3.19,1.57,-8.88,-1.94,-5.83,0.1481,0.0905,22050,music,2399.8,2026.5,1350.3,0.01,4041.7,95.7,0.0753
0.466,0.289,0.271,0.268,0.212,0.177,0.287,0.222,0.197,0.362,0.299,0.35,22.383,21.509,24.675,19.907,18.408,17.916,43.795,129.8,0.2649,28-rest-085.mp3,3.97,-246.3,101.86,-3.53,-1.25,-5.22,39.82,40.99,17.83,13.09,7.06,-9.41,3.6,-7.4,0.1333,0.0801,22050,music,2210.7,1490.6,904.3,0.0042,3144.0,95.7,0.0416
0.424,0.308,0.305,0.314,0.301,0.213,0.23,0.175,0.21,0.491,0.355,0.354,22.471,20.958,24.406,19.678,17.338,17.68,45.476,139.89,0.2795,29-rest-093.mp3,4.28,-209.16,79.65,-13.85,-5.54,-8.8,15.9,37.5,18.02,18.47,14.39,0.19,0.22,-6.05,0.1301,0.0804,22050,music,2444.7,1936.3,977.2,0.0104,4169.9,83.4,0.0589
0.213,0.272,0.301,0.193,0.447,0.29,0.307,0.333,0.233,0.236,0.279,0.474,22.285,19.316,22.497,22.06,19.945,17.655,44.566,138.58,0.2193,30-the-berry-phase.mp3,4.24,-194.93,88.46,0.4,-2.03,-6.93,25.28,26.64,2.06,-1.05,-1.35,4.66,-0.81,1.6,0.1198,0.0654,22050,music,2369.8,2065.9,1130.6,0.0147,4451.2,152.0,0.0777
0.286,0.266,0.235,0.285,0.388,0.309,0.415,0.236,0.162,0.19,0.234,0.308,21.054,20.294,23.219,21.039,19.146,18.071,47.435,184.35,0.2698,31-the-overtones-dream.mp3,5.63,-209.41,69.86,-3.06,1.5,-4.64,15.96,40.41,-2.99,7.13,3.82,4.61,2.96,4.6,0.1211,0.079,22050,music,2270.3,2135.6,1064.4,0.012,4364.2,112.3,0.0847
0.361,0.296,0.396,0.297,0.404,0.435,0.307,0.318,0.253,0.319,0.253,0.292,24.178,19.048,22.805,21.411,18.421,18.623,46.087,210.12,0.2198,32-ambient-marching-band.mp3,6.42,-194.26,79.99,-1.96,7.27,-1.08,16.04,39.03,-9.51,0.87,6.78,0.57,3.3,-0.39,0.1177,0.0697,22050,music,2231.0,2077.8,1037.7,0.0119,4263.7,76.0,0.0764
